nose:
  Frame 0: x=0.5138, y=0.3390, z=-0.1684
  Frame 1: x=0.5138, y=0.3388, z=-0.1561
  Frame 2: x=0.5136, y=0.3386, z=-0.1257
  Frame 3: x=0.5134, y=0.3378, z=-0.1126
  Frame 4: x=0.5133, y=0.3377, z=-0.1169
  Frame 5: x=0.4937, y=0.3382, z=-0.1278
  Frame 6: x=0.4917, y=0.3375, z=-0.1168
  Frame 7: x=0.4918, y=0.3374, z=-0.1177
  Frame 8: x=0.4910, y=0.3376, z=-0.1142
  Frame 9: x=0.4902, y=0.3377, z=-0.1163
  Frame 10: x=0.4903, y=0.3379, z=-0.1173
  Frame 11: x=0.4902, y=0.3379, z=-0.1183
  Frame 12: x=0.4902, y=0.3380, z=-0.1193
  Frame 13: x=0.4901, y=0.3381, z=-0.1194
  Frame 14: x=0.4905, y=0.3382, z=-0.1045
  Frame 15: x=0.4906, y=0.3383, z=-0.0965
  Frame 16: x=0.4907, y=0.3383, z=-0.0943
  Frame 17: x=0.4904, y=0.3383, z=-0.0951
  Frame 18: x=0.4903, y=0.3384, z=-0.0979
  Frame 19: x=0.4904, y=0.3387, z=-0.0982
  Frame 20: x=0.4904, y=0.3386, z=-0.0980
  Frame 21: x=0.4905, y=0.3388, z=-0.0990
  Frame 22: x=0.4905, y=0.3390, z=-0.1000

left_eye:
  Frame 0: x=0.5208, y=0.3392, z=-0.1573
  Frame 1: x=0.5208, y=0.3395, z=-0.1433
  Frame 2: x=0.5207, y=0.3396, z=-0.1136
  Frame 3: x=0.5205, y=0.3396, z=-0.1000
  Frame 4: x=0.5204, y=0.3397, z=-0.1038
  Frame 5: x=0.4992, y=0.3347, z=-0.1144
  Frame 6: x=0.4984, y=0.3304, z=-0.1013
  Frame 7: x=0.4987, y=0.3300, z=-0.1026
  Frame 8: x=0.4978, y=0.3302, z=-0.0996
  Frame 9: x=0.4969, y=0.3306, z=-0.1019
  Frame 10: x=0.4971, y=0.3308, z=-0.1033
  Frame 11: x=0.4971, y=0.3308, z=-0.1044
  Frame 12: x=0.4971, y=0.3308, z=-0.1052
  Frame 13: x=0.4970, y=0.3309, z=-0.1054
  Frame 14: x=0.4974, y=0.3310, z=-0.0889
  Frame 15: x=0.4977, y=0.3310, z=-0.0814
  Frame 16: x=0.4979, y=0.3310, z=-0.0791
  Frame 17: x=0.4976, y=0.3310, z=-0.0805
  Frame 18: x=0.4973, y=0.3311, z=-0.0832
  Frame 19: x=0.4974, y=0.3313, z=-0.0834
  Frame 20: x=0.4973, y=0.3313, z=-0.0833
  Frame 21: x=0.4974, y=0.3313, z=-0.0837
  Frame 22: x=0.4974, y=0.3314, z=-0.0845

right_eye:
  Frame 0: x=0.5136, y=0.3279, z=-0.1530
  Frame 1: x=0.5136, y=0.3277, z=-0.1417
  Frame 2: x=0.5133, y=0.3277, z=-0.1109
  Frame 3: x=0.5131, y=0.3277, z=-0.0973
  Frame 4: x=0.5130, y=0.3276, z=-0.1013
  Frame 5: x=0.4902, y=0.3290, z=-0.1129
  Frame 6: x=0.4881, y=0.3289, z=-0.1023
  Frame 7: x=0.4876, y=0.3291, z=-0.1027
  Frame 8: x=0.4868, y=0.3293, z=-0.0990
  Frame 9: x=0.4862, y=0.3301, z=-0.1011
  Frame 10: x=0.4862, y=0.3305, z=-0.1021
  Frame 11: x=0.4860, y=0.3307, z=-0.1032
  Frame 12: x=0.4858, y=0.3309, z=-0.1043
  Frame 13: x=0.4856, y=0.3309, z=-0.1046
  Frame 14: x=0.4858, y=0.3310, z=-0.0913
  Frame 15: x=0.4862, y=0.3310, z=-0.0843
  Frame 16: x=0.4864, y=0.3310, z=-0.0821
  Frame 17: x=0.4864, y=0.3309, z=-0.0839
  Frame 18: x=0.4864, y=0.3309, z=-0.0871
  Frame 19: x=0.4865, y=0.3310, z=-0.0880
  Frame 20: x=0.4865, y=0.3310, z=-0.0883
  Frame 21: x=0.4866, y=0.3310, z=-0.0903
  Frame 22: x=0.4866, y=0.3311, z=-0.0908

left_ear:
  Frame 0: x=0.5231, y=0.3495, z=-0.0983
  Frame 1: x=0.5231, y=0.3510, z=-0.0774
  Frame 2: x=0.5227, y=0.3513, z=-0.0517
  Frame 3: x=0.5220, y=0.3514, z=-0.0380
  Frame 4: x=0.5216, y=0.3516, z=-0.0404
  Frame 5: x=0.5066, y=0.3439, z=-0.0391
  Frame 6: x=0.5048, y=0.3381, z=-0.0226
  Frame 7: x=0.5045, y=0.3366, z=-0.0257
  Frame 8: x=0.5039, y=0.3376, z=-0.0264
  Frame 9: x=0.5033, y=0.3381, z=-0.0296
  Frame 10: x=0.5032, y=0.3384, z=-0.0326
  Frame 11: x=0.5032, y=0.3387, z=-0.0344
  Frame 12: x=0.5031, y=0.3388, z=-0.0344
  Frame 13: x=0.5031, y=0.3388, z=-0.0346
  Frame 14: x=0.5033, y=0.3389, z=-0.0139
  Frame 15: x=0.5034, y=0.3389, z=-0.0071
  Frame 16: x=0.5035, y=0.3389, z=-0.0047
  Frame 17: x=0.5032, y=0.3389, z=-0.0055
  Frame 18: x=0.5029, y=0.3390, z=-0.0066
  Frame 19: x=0.5027, y=0.3390, z=-0.0061
  Frame 20: x=0.5028, y=0.3390, z=-0.0059
  Frame 21: x=0.5029, y=0.3391, z=-0.0087
  Frame 22: x=0.5029, y=0.3391, z=-0.0100

right_ear:
  Frame 0: x=0.5098, y=0.3306, z=-0.0799
  Frame 1: x=0.5098, y=0.3306, z=-0.0718
  Frame 2: x=0.5091, y=0.3305, z=-0.0417
  Frame 3: x=0.5088, y=0.3305, z=-0.0268
  Frame 4: x=0.5086, y=0.3305, z=-0.0303
  Frame 5: x=0.4882, y=0.3346, z=-0.0406
  Frame 6: x=0.4851, y=0.3348, z=-0.0300
  Frame 7: x=0.4848, y=0.3353, z=-0.0292
  Frame 8: x=0.4847, y=0.3363, z=-0.0262
  Frame 9: x=0.4844, y=0.3371, z=-0.0284
  Frame 10: x=0.4844, y=0.3378, z=-0.0295
  Frame 11: x=0.4842, y=0.3382, z=-0.0310
  Frame 12: x=0.4838, y=0.3383, z=-0.0323
  Frame 13: x=0.4836, y=0.3384, z=-0.0330
  Frame 14: x=0.4833, y=0.3385, z=-0.0264
  Frame 15: x=0.4837, y=0.3385, z=-0.0223
  Frame 16: x=0.4838, y=0.3384, z=-0.0205
  Frame 17: x=0.4840, y=0.3378, z=-0.0221
  Frame 18: x=0.4840, y=0.3375, z=-0.0230
  Frame 19: x=0.4841, y=0.3375, z=-0.0243
  Frame 20: x=0.4841, y=0.3372, z=-0.0265
  Frame 21: x=0.4842, y=0.3372, z=-0.0311
  Frame 22: x=0.4843, y=0.3372, z=-0.0318

shoulder_left:
  Frame 0: x=0.5226, y=0.4190, z=-0.0844
  Frame 1: x=0.5223, y=0.4187, z=-0.0492
  Frame 2: x=0.5200, y=0.4171, z=-0.0357
  Frame 3: x=0.5185, y=0.4164, z=-0.0271
  Frame 4: x=0.5180, y=0.4162, z=-0.0265
  Frame 5: x=0.5185, y=0.4090, z=0.0132
  Frame 6: x=0.5193, y=0.4068, z=0.0211
  Frame 7: x=0.5202, y=0.4064, z=0.0190
  Frame 8: x=0.5206, y=0.4072, z=0.0185
  Frame 9: x=0.5214, y=0.4077, z=0.0199
  Frame 10: x=0.5217, y=0.4079, z=0.0147
  Frame 11: x=0.5221, y=0.4081, z=0.0123
  Frame 12: x=0.5221, y=0.4083, z=0.0141
  Frame 13: x=0.5221, y=0.4084, z=0.0140
  Frame 14: x=0.5220, y=0.4086, z=0.0337
  Frame 15: x=0.5218, y=0.4087, z=0.0406
  Frame 16: x=0.5216, y=0.4088, z=0.0433
  Frame 17: x=0.5211, y=0.4089, z=0.0480
  Frame 18: x=0.5208, y=0.4089, z=0.0495
  Frame 19: x=0.5206, y=0.4089, z=0.0506
  Frame 20: x=0.5204, y=0.4086, z=0.0523
  Frame 21: x=0.5203, y=0.4082, z=0.0496
  Frame 22: x=0.5202, y=0.4080, z=0.0491

shoulder_right:
  Frame 0: x=0.4891, y=0.3677, z=-0.0222
  Frame 1: x=0.4892, y=0.3683, z=-0.0225
  Frame 2: x=0.4895, y=0.3700, z=0.0069
  Frame 3: x=0.4895, y=0.3711, z=0.0200
  Frame 4: x=0.4895, y=0.3714, z=0.0164
  Frame 5: x=0.4708, y=0.3953, z=-0.0201
  Frame 6: x=0.4681, y=0.4002, z=-0.0159
  Frame 7: x=0.4679, y=0.4013, z=-0.0070
  Frame 8: x=0.4685, y=0.4043, z=-0.0066
  Frame 9: x=0.4693, y=0.4047, z=-0.0109
  Frame 10: x=0.4695, y=0.4049, z=-0.0115
