nose:
  Frame 0: x=0.5138, y=0.3390, z=-0.1684
  Frame 1: x=0.5138, y=0.3388, z=-0.1561
  Frame 2: x=0.5136, y=0.3386, z=-0.1257
  Frame 3: x=0.5134, y=0.3378, z=-0.1126
  Frame 4: x=0.5133, y=0.3377, z=-0.1169
  Frame 5: x=0.4937, y=0.3382, z=-0.1278
  Frame 6: x=0.4917, y=0.3375, z=-0.1168
  Frame 7: x=0.4918, y=0.3374, z=-0.1177
  Frame 8: x=0.4910, y=0.3376, z=-0.1142
  Frame 9: x=0.4902, y=0.3377, z=-0.1163
  Frame 10: x=0.4903, y=0.3379, z=-0.1173
  Frame 11: x=0.4902, y=0.3379, z=-0.1183
  Frame 12: x=0.4902, y=0.3380, z=-0.1193
  Frame 13: x=0.4901, y=0.3381, z=-0.1194
  Frame 14: x=0.4905, y=0.3382, z=-0.1045
  Frame 15: x=0.4906, y=0.3383, z=-0.0965
  Frame 16: x=0.4907, y=0.3383, z=-0.0943
  Frame 17: x=0.4904, y=0.3383, z=-0.0951
  Frame 18: x=0.4903, y=0.3384, z=-0.0979
  Frame 19: x=0.4904, y=0.3387, z=-0.0982
  Frame 20: x=0.4904, y=0.3386, z=-0.0980
  Frame 21: x=0.4905, y=0.3388, z=-0.0990
  Frame 22: x=0.4905, y=0.3390, z=-0.1000
  Frame 23: x=0.4900, y=0.3390, z=-0.1101
  Frame 24: x=0.4901, y=0.3385, z=-0.1216
  Frame 25: x=0.4901, y=0.3385, z=-0.1257
  Frame 26: x=0.4901, y=0.3386, z=-0.1394
  Frame 27: x=0.4902, y=0.3391, z=-0.1700
  Frame 28: x=0.4903, y=0.3397, z=-0.1770
  Frame 29: x=0.4903, y=0.3403, z=-0.1677
  Frame 30: x=0.4903, y=0.3415, z=-0.1076
  Frame 31: x=0.4903, y=0.3424, z=-0.1027
  Frame 32: x=0.4891, y=0.3447, z=-0.1157
  Frame 33: x=0.4880, y=0.3456, z=-0.1425
  Frame 34: x=0.4876, y=0.3466, z=-0.1433
  Frame 35: x=0.4813, y=0.3421, z=-0.1394
  Frame 36: x=0.4756, y=0.3396, z=0.0842
  Frame 37: x=0.4743, y=0.3396, z=0.0660
  Frame 38: x=0.4803, y=0.3276, z=0.2299
  Frame 39: x=0.4930, y=0.3117, z=0.1631
  Frame 40: x=0.4964, y=0.3110, z=0.1440
  Frame 41: x=0.5148, y=0.3130, z=0.0480
  Frame 42: x=0.5186, y=0.3088, z=0.0134
  Frame 43: x=0.5192, y=0.3078, z=0.0070
  Frame 44: x=0.5162, y=0.3033, z=-0.0033
  Frame 45: x=0.5126, y=0.2997, z=-0.1033
  Frame 46: x=0.5120, y=0.2980, z=-0.1022
  Frame 47: x=0.5106, y=0.2939, z=-0.0843
  Frame 48: x=0.5099, y=0.2934, z=-0.0557
  Frame 49: x=0.5095, y=0.2945, z=-0.0488
  Frame 50: x=0.5056, y=0.2960, z=-0.0832
  Frame 51: x=0.5030, y=0.2967, z=-0.0984
  Frame 52: x=0.5020, y=0.2971, z=-0.1056
  Frame 53: x=0.4958, y=0.2968, z=0.0018
  Frame 54: x=0.4909, y=0.2972, z=0.0506
  Frame 55: x=0.4898, y=0.2974, z=0.0504
  Frame 56: x=0.4956, y=0.2995, z=0.1527
  Frame 57: x=0.5050, y=0.2997, z=0.1379
  Frame 58: x=0.5070, y=0.2998, z=0.1477
  Frame 59: x=0.5224, y=0.2997, z=0.0822
  Frame 60: x=0.5291, y=0.2997, z=0.0253
  Frame 61: x=0.5299, y=0.2999, z=0.0262
  Frame 62: x=0.5330, y=0.3019, z=0.0079
  Frame 63: x=0.5332, y=0.3070, z=0.0099
  Frame 64: x=0.5332, y=0.3088, z=-0.0168
  Frame 65: x=0.5321, y=0.3122, z=-0.1142
  Frame 66: x=0.5302, y=0.3123, z=-0.1488
  Frame 67: x=0.5302, y=0.3131, z=-0.1520
  Frame 68: x=0.5302, y=0.3131, z=-0.1370
  Frame 69: x=0.5296, y=0.3137, z=-0.1606
  Frame 70: x=0.5294, y=0.3142, z=-0.1636
  Frame 71: x=0.5283, y=0.3183, z=-0.1853
  Frame 72: x=0.5267, y=0.3201, z=-0.1692
  Frame 73: x=0.5264, y=0.3211, z=-0.1729
  Frame 74: x=0.5243, y=0.3233, z=-0.1280
  Frame 75: x=0.5222, y=0.3259, z=-0.0999
  Frame 76: x=0.5211, y=0.3271, z=-0.0914
  Frame 77: x=0.5201, y=0.3342, z=-0.0710
  Frame 78: x=0.5199, y=0.3400, z=-0.0534
  Frame 79: x=0.5196, y=0.3411, z=-0.0294
  Frame 80: x=0.5192, y=0.3506, z=-0.0499
  Frame 81: x=0.5193, y=0.3549, z=-0.0515
  Frame 82: x=0.5195, y=0.3567, z=-0.0478
  Frame 83: x=0.5200, y=0.3621, z=-0.0204
  Frame 84: x=0.5214, y=0.3640, z=-0.0197
  Frame 85: x=0.5219, y=0.3648, z=-0.0093
  Frame 86: x=0.5235, y=0.3663, z=-0.0082
  Frame 87: x=0.5248, y=0.3672, z=-0.0089
  Frame 88: x=0.5255, y=0.3672, z=-0.0096
  Frame 89: x=0.5256, y=0.3677, z=-0.0079
  Frame 90: x=0.5256, y=0.3681, z=-0.0049
  Frame 91: x=0.5256, y=0.3680, z=-0.0043
  Frame 92: x=0.5255, y=0.3681, z=-0.0050
  Frame 93: x=0.5252, y=0.3680, z=0.0029
  Frame 94: x=0.5248, y=0.3680, z=0.0056
  Frame 95: x=0.5214, y=0.3683, z=0.0031
  Frame 96: x=0.5192, y=0.3684, z=0.0041
  Frame 97: x=0.5182, y=0.3684, z=0.0030
  Frame 98: x=0.5167, y=0.3683, z=0.0090
  Frame 99: x=0.5149, y=0.3681, z=0.0122
  Frame 100: x=0.5143, y=0.3679, z=0.0085
  Frame 101: x=0.5001, y=0.3419, z=-0.0218
  Frame 102: x=0.4930, y=0.3313, z=-0.0274
  Frame 103: x=0.4925, y=0.3287, z=-0.0342
  Frame 104: x=0.4870, y=0.3187, z=0.0192

left_eye:
  Frame 0: x=0.5208, y=0.3392, z=-0.1573
  Frame 1: x=0.5208, y=0.3395, z=-0.1433
  Frame 2: x=0.5207, y=0.3396, z=-0.1136
  Frame 3: x=0.5205, y=0.3396, z=-0.1000
  Frame 4: x=0.5204, y=0.3397, z=-0.1038
  Frame 5: x=0.4992, y=0.3347, z=-0.1144
  Frame 6: x=0.4984, y=0.3304, z=-0.1013
  Frame 7: x=0.4987, y=0.3300, z=-0.1026
  Frame 8: x=0.4978, y=0.3302, z=-0.0996
  Frame 9: x=0.4969, y=0.3306, z=-0.1019
  Frame 10: x=0.4971, y=0.3308, z=-0.1033
  Frame 11: x=0.4971, y=0.3308, z=-0.1044
  Frame 12: x=0.4971, y=0.3308, z=-0.1052
  Frame 13: x=0.4970, y=0.3309, z=-0.1054
  Frame 14: x=0.4974, y=0.3310, z=-0.0889
  Frame 15: x=0.4977, y=0.3310, z=-0.0814
  Frame 16: x=0.4979, y=0.3310, z=-0.0791
  Frame 17: x=0.4976, y=0.3310, z=-0.0805
  Frame 18: x=0.4973, y=0.3311, z=-0.0832
  Frame 19: x=0.4974, y=0.3313, z=-0.0834
  Frame 20: x=0.4973, y=0.3313, z=-0.0833
  Frame 21: x=0.4974, y=0.3313, z=-0.0837
  Frame 22: x=0.4974, y=0.3314, z=-0.0845
  Frame 23: x=0.4972, y=0.3314, z=-0.0962
  Frame 24: x=0.4972, y=0.3311, z=-0.1081
  Frame 25: x=0.4973, y=0.3311, z=-0.1123
  Frame 26: x=0.4973, y=0.3311, z=-0.1311
  Frame 27: x=0.4973, y=0.3314, z=-0.1663
  Frame 28: x=0.4974, y=0.3318, z=-0.1725
  Frame 29: x=0.4974, y=0.3327, z=-0.1595
  Frame 30: x=0.4974, y=0.3341, z=-0.0994
  Frame 31: x=0.4973, y=0.3352, z=-0.0945
  Frame 32: x=0.4965, y=0.3371, z=-0.0984
  Frame 33: x=0.4952, y=0.3377, z=-0.1345
  Frame 34: x=0.4948, y=0.3383, z=-0.1362
  Frame 35: x=0.4873, y=0.3338, z=-0.1350
  Frame 36: x=0.4799, y=0.3296, z=0.0677
  Frame 37: x=0.4781, y=0.3292, z=0.0492
  Frame 38: x=0.4819, y=0.3168, z=0.2162
  Frame 39: x=0.4875, y=0.3029, z=0.1552
  Frame 40: x=0.4907, y=0.3021, z=0.1372
  Frame 41: x=0.5109, y=0.3026, z=0.0957
  Frame 42: x=0.5164, y=0.2989, z=0.0448
  Frame 43: x=0.5173, y=0.2981, z=0.0265
  Frame 44: x=0.5183, y=0.2950, z=0.0170
  Frame 45: x=0.5169, y=0.2929, z=-0.0883
