nose:
  Frame 0: x=0.5311, y=0.1840, z=-0.2189
  Frame 1: x=0.5320, y=0.1840, z=-0.2172
  Frame 2: x=0.5335, y=0.1838, z=-0.2186
  Frame 3: x=0.5347, y=0.1839, z=-0.2229
  Frame 4: x=0.5354, y=0.1844, z=-0.2256
  Frame 5: x=0.5358, y=0.1849, z=-0.2263
  Frame 6: x=0.5361, y=0.1858, z=-0.2367
  Frame 7: x=0.5368, y=0.1893, z=-0.3096
  Frame 8: x=0.5374, y=0.1928, z=-0.3216
  Frame 9: x=0.5374, y=0.1962, z=-0.3137
  Frame 10: x=0.5367, y=0.1955, z=-0.3164
  Frame 11: x=0.5361, y=0.1950, z=-0.3165
  Frame 12: x=0.5337, y=0.1947, z=-0.3038
  Frame 13: x=0.5271, y=0.1945, z=-0.2956
  Frame 14: x=0.5210, y=0.1923, z=-0.2896
  Frame 15: x=0.5142, y=0.1885, z=-0.2621
  Frame 16: x=0.5046, y=0.1837, z=-0.2536
  Frame 17: x=0.5032, y=0.1821, z=-0.2601
  Frame 18: x=0.4951, y=0.1777, z=-0.2620
  Frame 19: x=0.4865, y=0.1753, z=-0.2472
  Frame 20: x=0.4766, y=0.1719, z=-0.2505
  Frame 21: x=0.4679, y=0.1716, z=-0.2515
  Frame 22: x=0.4618, y=0.1725, z=-0.2672
  Frame 23: x=0.4581, y=0.1750, z=-0.2716
  Frame 24: x=0.4489, y=0.1763, z=-0.2741
  Frame 25: x=0.4397, y=0.1766, z=-0.2735
  Frame 26: x=0.4275, y=0.1784, z=-0.2428
  Frame 27: x=0.4185, y=0.1811, z=-0.2261
  Frame 28: x=0.4068, y=0.1813, z=-0.2083
  Frame 29: x=0.4071, y=0.1843, z=-0.2326
  Frame 30: x=0.3998, y=0.1869, z=-0.1918
  Frame 31: x=0.3898, y=0.1936, z=-0.2030
  Frame 32: x=0.3842, y=0.2012, z=-0.2764
  Frame 33: x=0.3865, y=0.2040, z=-0.2653
  Frame 34: x=0.3744, y=0.2023, z=-0.2044
  Frame 35: x=0.3722, y=0.2038, z=-0.2145
  Frame 36: x=0.3620, y=0.2078, z=-0.1844
  Frame 37: x=0.3553, y=0.2113, z=-0.1913
  Frame 38: x=0.3519, y=0.2153, z=-0.2168
  Frame 39: x=0.3474, y=0.2218, z=-0.2978
  Frame 40: x=0.3445, y=0.2295, z=-0.3244
  Frame 41: x=0.3456, y=0.2294, z=-0.3158
  Frame 42: x=0.3416, y=0.2367, z=-0.3258
  Frame 43: x=0.3399, y=0.2403, z=-0.2999
  Frame 44: x=0.3387, y=0.2478, z=-0.2970
  Frame 45: x=0.3362, y=0.2521, z=-0.2711
  Frame 46: x=0.3337, y=0.2499, z=-0.2551
  Frame 47: x=0.3347, y=0.2490, z=-0.2432
  Frame 48: x=0.3351, y=0.2479, z=-0.2435
  Frame 49: x=0.3343, y=0.2467, z=-0.2308
  Frame 50: x=0.3320, y=0.2445, z=-0.2030
  Frame 51: x=0.3308, y=0.2441, z=-0.2979
  Frame 52: x=0.3282, y=0.2415, z=-0.3113
  Frame 53: x=0.3287, y=0.2395, z=-0.3156
  Frame 54: x=0.3281, y=0.2367, z=-0.3424
  Frame 55: x=0.3263, y=0.2350, z=-0.3418
  Frame 56: x=0.3260, y=0.2325, z=-0.3376
  Frame 57: x=0.3249, y=0.2323, z=-0.3310
  Frame 58: x=0.3242, y=0.2329, z=-0.3661
  Frame 59: x=0.3237, y=0.2333, z=-0.3672
  Frame 60: x=0.3232, y=0.2364, z=-0.3833
  Frame 61: x=0.3231, y=0.2398, z=-0.3800
  Frame 62: x=0.3231, y=0.2418, z=-0.3637
  Frame 63: x=0.3230, y=0.2424, z=-0.3211
  Frame 64: x=0.3227, y=0.2415, z=-0.3279
  Frame 65: x=0.3225, y=0.2411, z=-0.3308
  Frame 66: x=0.3221, y=0.2369, z=-0.3490
  Frame 67: x=0.3214, y=0.2352, z=-0.3475
  Frame 68: x=0.3216, y=0.2336, z=-0.3465
  Frame 69: x=0.3220, y=0.2330, z=-0.3795
  Frame 70: x=0.3227, y=0.2307, z=-0.4111
  Frame 71: x=0.3234, y=0.2298, z=-0.4156
  Frame 72: x=0.3240, y=0.2278, z=-0.4138
  Frame 73: x=0.3251, y=0.2250, z=-0.3990
  Frame 74: x=0.3267, y=0.2226, z=-0.3799
  Frame 75: x=0.3287, y=0.2208, z=-0.3366
  Frame 76: x=0.3317, y=0.2181, z=-0.2939
  Frame 77: x=0.3327, y=0.2170, z=-0.3073
  Frame 78: x=0.3346, y=0.2165, z=-0.3508
  Frame 79: x=0.3371, y=0.2171, z=-0.3292
  Frame 80: x=0.3403, y=0.2175, z=-0.3085
  Frame 81: x=0.3446, y=0.2178, z=-0.3536
  Frame 82: x=0.3497, y=0.2164, z=-0.3258
  Frame 83: x=0.3515, y=0.2155, z=-0.3276
  Frame 84: x=0.3574, y=0.2125, z=-0.3575
  Frame 85: x=0.3679, y=0.2079, z=-0.3551
  Frame 86: x=0.3788, y=0.2008, z=-0.3432
  Frame 87: x=0.3904, y=0.1922, z=-0.3470
  Frame 88: x=0.4028, y=0.1840, z=-0.3244
  Frame 89: x=0.4026, y=0.1842, z=-0.3113
  Frame 90: x=0.4153, y=0.1819, z=-0.3074
  Frame 91: x=0.4280, y=0.1804, z=-0.3039
  Frame 92: x=0.4373, y=0.1788, z=-0.2659
  Frame 93: x=0.4481, y=0.1809, z=-0.2488
  Frame 94: x=0.4594, y=0.1811, z=-0.2357
  Frame 95: x=0.4597, y=0.1816, z=-0.2374
  Frame 96: x=0.4738, y=0.1833, z=-0.2345
  Frame 97: x=0.4854, y=0.1867, z=-0.2251
  Frame 98: x=0.4977, y=0.1885, z=-0.2135
  Frame 99: x=0.5063, y=0.1897, z=-0.2303
  Frame 100: x=0.5144, y=0.1924, z=-0.2281
  Frame 101: x=0.5173, y=0.1966, z=-0.2261
  Frame 102: x=0.5213, y=0.2026, z=-0.2506
  Frame 103: x=0.5222, y=0.2022, z=-0.2547
  Frame 104: x=0.5336, y=0.1967, z=-0.2167
  Frame 105: x=0.5409, y=0.1963, z=-0.2427
  Frame 106: x=0.5457, y=0.1937, z=-0.2372
  Frame 107: x=0.5500, y=0.1914, z=-0.2529
  Frame 108: x=0.5506, y=0.1906, z=-0.2618
  Frame 109: x=0.5556, y=0.1901, z=-0.3497
  Frame 110: x=0.5590, y=0.1902, z=-0.3402
  Frame 111: x=0.5604, y=0.1915, z=-0.4411
  Frame 112: x=0.5603, y=0.1941, z=-0.3862
  Frame 113: x=0.5608, y=0.1996, z=-0.2858
  Frame 114: x=0.5606, y=0.2014, z=-0.2731
  Frame 115: x=0.5590, y=0.2032, z=-0.2333
  Frame 116: x=0.5573, y=0.2037, z=-0.2616
  Frame 117: x=0.5568, y=0.2033, z=-0.3393
  Frame 118: x=0.5561, y=0.2029, z=-0.3680
  Frame 119: x=0.5558, y=0.2027, z=-0.3399
  Frame 120: x=0.5555, y=0.2027, z=-0.3120
  Frame 121: x=0.5552, y=0.2025, z=-0.2702
  Frame 122: x=0.5541, y=0.2012, z=-0.2394
  Frame 123: x=0.5532, y=0.2011, z=-0.2495
  Frame 124: x=0.5521, y=0.2022, z=-0.2566
  Frame 125: x=0.5514, y=0.2050, z=-0.3318
  Frame 126: x=0.5506, y=0.2058, z=-0.3312
  Frame 127: x=0.5500, y=0.2095, z=-0.3493
  Frame 128: x=0.5499, y=0.2130, z=-0.3464
  Frame 129: x=0.5501, y=0.2170, z=-0.3320
  Frame 130: x=0.5508, y=0.2205, z=-0.3090
  Frame 131: x=0.5521, y=0.2199, z=-0.2549
  Frame 132: x=0.5529, y=0.2195, z=-0.2550
  Frame 133: x=0.5559, y=0.2190, z=-0.2351
  Frame 134: x=0.5572, y=0.2178, z=-0.2441
  Frame 135: x=0.5585, y=0.2166, z=-0.2603
  Frame 136: x=0.5601, y=0.2154, z=-0.3355
  Frame 137: x=0.5617, y=0.2139, z=-0.3549
  Frame 138: x=0.5623, y=0.2128, z=-0.3496
  Frame 139: x=0.5624, y=0.2104, z=-0.3927
  Frame 140: x=0.5627, y=0.2067, z=-0.3997
  Frame 141: x=0.5628, y=0.2019, z=-0.3846
  Frame 142: x=0.5633, y=0.1975, z=-0.3322
