nose:
  Frame 0: x=0.4960, y=0.3203, z=-0.2672
  Frame 1: x=0.4960, y=0.3305, z=-0.2841
  Frame 2: x=0.4961, y=0.3373, z=-0.2979
  Frame 3: x=0.4966, y=0.3373, z=-0.2910
  Frame 4: x=0.4970, y=0.3374, z=-0.2893
  Frame 5: x=0.4969, y=0.3372, z=-0.2943
  Frame 6: x=0.4967, y=0.3273, z=-0.3176
  Frame 7: x=0.4918, y=0.3180, z=-0.3610
  Frame 8: x=0.4866, y=0.3078, z=-0.3753
  Frame 9: x=0.4793, y=0.3007, z=-0.3688
  Frame 10: x=0.4783, y=0.2987, z=-0.3458
  Frame 11: x=0.4727, y=0.3014, z=-0.3710
  Frame 12: x=0.4661, y=0.3018, z=-0.3930
  Frame 13: x=0.4572, y=0.3026, z=-0.3695
  Frame 14: x=0.4515, y=0.3036, z=-0.3612
  Frame 15: x=0.4431, y=0.3029, z=-0.2966
  Frame 16: x=0.4429, y=0.3033, z=-0.3139
  Frame 17: x=0.4392, y=0.3059, z=-0.2762
  Frame 18: x=0.4350, y=0.3106, z=-0.2081
  Frame 19: x=0.4303, y=0.3207, z=-0.2057
  Frame 20: x=0.4279, y=0.3336, z=-0.2304
  Frame 21: x=0.4260, y=0.3406, z=-0.2888
  Frame 22: x=0.4247, y=0.3416, z=-0.2605
  Frame 23: x=0.4233, y=0.3447, z=-0.2510
  Frame 24: x=0.4224, y=0.3409, z=-0.2367
  Frame 25: x=0.4229, y=0.3382, z=-0.2631
  Frame 26: x=0.4245, y=0.3281, z=-0.3236
  Frame 27: x=0.4257, y=0.3135, z=-0.3700
  Frame 28: x=0.4262, y=0.3080, z=-0.3580
  Frame 29: x=0.4304, y=0.3016, z=-0.3667
  Frame 30: x=0.4414, y=0.2968, z=-0.3793
  Frame 31: x=0.4549, y=0.2923, z=-0.3505
  Frame 32: x=0.4638, y=0.2918, z=-0.3634
  Frame 33: x=0.4695, y=0.2942, z=-0.4369
  Frame 34: x=0.4710, y=0.2949, z=-0.4555
  Frame 35: x=0.4747, y=0.2960, z=-0.4640
  Frame 36: x=0.4784, y=0.2975, z=-0.4407
  Frame 37: x=0.4860, y=0.3029, z=-0.3309
  Frame 38: x=0.4901, y=0.3161, z=-0.2445
  Frame 39: x=0.4951, y=0.3294, z=-0.2121
  Frame 40: x=0.4946, y=0.3345, z=-0.2796
  Frame 41: x=0.4983, y=0.3420, z=-0.2845
  Frame 42: x=0.5014, y=0.3494, z=-0.2940
  Frame 43: x=0.5039, y=0.3497, z=-0.3013
  Frame 44: x=0.5051, y=0.3451, z=-0.2901
  Frame 45: x=0.5050, y=0.3374, z=-0.2910
  Frame 46: x=0.5068, y=0.3301, z=-0.2852
  Frame 47: x=0.5066, y=0.3159, z=-0.3007
  Frame 48: x=0.5091, y=0.2917, z=-0.3273
  Frame 49: x=0.5070, y=0.2761, z=-0.3333
  Frame 50: x=0.5059, y=0.2644, z=-0.3288
  Frame 51: x=0.5056, y=0.2580, z=-0.3262
