nose:
  Frame 0: x=0.4861, y=0.3312, z=-0.0307
  Frame 1: x=0.4861, y=0.3314, z=-0.0321
  Frame 2: x=0.4861, y=0.3315, z=-0.0375
  Frame 3: x=0.4861, y=0.3316, z=-0.0365
  Frame 4: x=0.4861, y=0.3317, z=-0.0528
  Frame 5: x=0.4861, y=0.3319, z=-0.0687
  Frame 6: x=0.4861, y=0.3320, z=-0.0681
  Frame 7: x=0.4862, y=0.3320, z=-0.0819
  Frame 8: x=0.4862, y=0.3320, z=-0.1361
  Frame 9: x=0.4862, y=0.3320, z=-0.1477
  Frame 10: x=0.4861, y=0.3317, z=-0.1352
  Frame 11: x=0.4856, y=0.3314, z=-0.0704
  Frame 12: x=0.4853, y=0.3312, z=-0.0603
  Frame 13: x=0.4829, y=0.3188, z=-0.1125
  Frame 14: x=0.4782, y=0.3062, z=-0.1289
  Frame 15: x=0.4768, y=0.3040, z=-0.1324
  Frame 16: x=0.4696, y=0.2901, z=0.0369
  Frame 17: x=0.4714, y=0.2905, z=0.0969
  Frame 18: x=0.4722, y=0.2904, z=0.0907
  Frame 19: x=0.4819, y=0.2872, z=0.1294
  Frame 20: x=0.5008, y=0.2856, z=0.0715
  Frame 21: x=0.5029, y=0.2860, z=0.0643
  Frame 22: x=0.4986, y=0.2855, z=-0.0979
  Frame 23: x=0.4956, y=0.2845, z=-0.1173
  Frame 24: x=0.4943, y=0.2839, z=-0.1224
  Frame 25: x=0.4951, y=0.2829, z=-0.1105
  Frame 26: x=0.4953, y=0.2799, z=-0.1083
  Frame 27: x=0.4955, y=0.2789, z=-0.1047
  Frame 28: x=0.4953, y=0.2778, z=-0.0938
  Frame 29: x=0.4952, y=0.2768, z=-0.0501
  Frame 30: x=0.4950, y=0.2766, z=-0.0477
  Frame 31: x=0.4943, y=0.2742, z=-0.0944
  Frame 32: x=0.4885, y=0.2713, z=-0.0842
  Frame 33: x=0.4867, y=0.2700, z=-0.0859
  Frame 34: x=0.4770, y=0.2705, z=0.0211
  Frame 35: x=0.4765, y=0.2766, z=0.0870
  Frame 36: x=0.4769, y=0.2790, z=0.0966
  Frame 37: x=0.4909, y=0.2798, z=0.1866
  Frame 38: x=0.5010, y=0.2798, z=0.0773
  Frame 39: x=0.5024, y=0.2782, z=0.0334
  Frame 40: x=0.5000, y=0.2753, z=-0.0831
  Frame 41: x=0.4990, y=0.2754, z=-0.0735
  Frame 42: x=0.4988, y=0.2755, z=-0.0748
  Frame 43: x=0.4981, y=0.2756, z=-0.0746
  Frame 44: x=0.4970, y=0.2750, z=-0.0814
  Frame 45: x=0.4963, y=0.2747, z=-0.0830
  Frame 46: x=0.4959, y=0.2716, z=-0.0654
  Frame 47: x=0.4955, y=0.2695, z=-0.0677
  Frame 48: x=0.4953, y=0.2690, z=-0.0686
  Frame 49: x=0.4859, y=0.2664, z=-0.0882
  Frame 50: x=0.4776, y=0.2657, z=-0.0747
  Frame 51: x=0.4761, y=0.2652, z=-0.0733
  Frame 52: x=0.4769, y=0.2695, z=0.1204
  Frame 53: x=0.4773, y=0.2695, z=0.1558
  Frame 54: x=0.4784, y=0.2695, z=0.1546
  Frame 55: x=0.4988, y=0.2700, z=0.1031
  Frame 56: x=0.4991, y=0.2701, z=-0.0805
  Frame 57: x=0.4995, y=0.2704, z=-0.0927
  Frame 58: x=0.4974, y=0.2705, z=-0.1090
  Frame 59: x=0.4958, y=0.2714, z=-0.0526
  Frame 60: x=0.4949, y=0.2716, z=-0.0506
  Frame 61: x=0.4944, y=0.2716, z=-0.1012
  Frame 62: x=0.4951, y=0.2708, z=-0.1277
  Frame 63: x=0.4952, y=0.2709, z=-0.1097
  Frame 64: x=0.4961, y=0.2685, z=-0.0602
  Frame 65: x=0.4959, y=0.2669, z=-0.0694
  Frame 66: x=0.4959, y=0.2660, z=-0.0688
  Frame 67: x=0.4897, y=0.2638, z=-0.0671
  Frame 68: x=0.4846, y=0.2618, z=-0.0392
  Frame 69: x=0.4833, y=0.2609, z=-0.0434
  Frame 70: x=0.4821, y=0.2614, z=0.0671
  Frame 71: x=0.4872, y=0.2617, z=0.1420
  Frame 72: x=0.4888, y=0.2619, z=0.1460
  Frame 73: x=0.5008, y=0.2643, z=0.1428
  Frame 74: x=0.5137, y=0.2697, z=0.0934
  Frame 75: x=0.5153, y=0.2722, z=0.0897
  Frame 76: x=0.5174, y=0.2867, z=0.0112
